timestamp [ns], landmark_id, z_tilde_x [px], z_tilde_y [px], z_tilde_stdev [px]
0, 1537, 733.6412458420, 424.4526306689, 1.000
0, 1543, 49.6436074376, 254.7551001906, 1.000
0, 1550, 597.3633235693, 187.6614109278, 1.000
0, 1561, 317.2467844486, 423.5931548178, 1.000
0, 1570, 517.4295871258, 167.6278607845, 1.000
0, 1571, 95.5608753562, 384.4843144417, 1.000
0, 1580, 670.2591518164, 426.3305056691, 1.000
0, 1581, 302.0498733521, 375.1893982887, 1.000
0, 1582, 493.0860205889, 171.2580292225, 1.000
0, 1587, 209.9815880656, 108.0556383133, 1.000
0, 1591, 258.7575196028, 371.5358737111, 1.000
0, 1595, 553.2897238731, 438.9937645495, 1.000
0, 1598, 629.9804546833, 190.7035011053, 1.000
0, 1599, 427.1424237490, 438.2130451500, 1.000
0, 1604, 430.6565260887, 246.4988740683, 1.000
0, 1606, 681.2979178429, 341.3961482644, 1.000
0, 1608, 306.1725140810, 86.8784271479, 1.000
0, 1612, 505.4795931578, 257.9730572104, 1.000
0, 1616, 70.2472580075, 278.9217467904, 1.000
0, 1617, 518.2242976427, 395.3578950167, 1.000
0, 1622, 268.1478160620, 411.9097254872, 1.000
0, 1625, 657.2768992186, 378.9139315486, 1.000
0, 1626, 356.2212235928, 73.2735698223, 1.000
0, 1628, 474.3046754599, 54.6765915155, 1.000
0, 1629, 700.0536125898, 475.5978940129, 1.000
0, 1631, 64.9650846124, 414.2966402173, 1.000
0, 1632, 49.3742032051, 454.1554157734, 1.000
0, 1636, 467.3532714844, 225.3876317739, 1.000
0, 1637, 379.1862137318, 111.7526406646, 1.000
0, 1640, 129.8164340258, 63.6989817619, 1.000
0, 1642, 696.6078861952, 342.8343749642, 1.000
0, 1644, 207.7083323598, 161.1771658063, 1.000
0, 1648, 66.5237778425, 238.4107670188, 1.000
0, 1649, 655.3771913052, 412.1029683948, 1.000
0, 1651, 496.2292078733, 194.2406210899, 1.000
0, 1654, 128.5985674262, 139.4923253059, 1.000
0, 1656, 303.1297469139, 20.8410296440, 1.000
0, 1659, 654.6231753826, 92.0754126906, 1.000
0, 1662, 14.9802377820, 342.9151247740, 1.000
0, 1666, 556.1357879639, 118.6129519343, 1.000
0, 1672, 146.3072226048, 426.5051501691, 1.000
0, 1675, 590.3429418802, 232.5751170516, 1.000
0, 1676, 607.9896525145, 380.8083363771, 1.000
0, 1677, 515.1812295914, 418.8511062562, 1.000
0, 1684, 632.8028993607, 434.6406840980, 1.000
0, 1689, 214.2913787961, 28.1298753023, 1.000
0, 1694, 678.8487952948, 474.3594544530, 1.000
0, 1700, 254.5448392630, 305.2655918002, 1.000
0, 1704, 633.9140648842, 447.3513134420, 1.000
0, 1707, 100.1292760968, 181.1474174261, 1.000
0, 1709, 499.6886997223, 149.0300174356, 1.000
0, 1713, 477.7264815569, 398.4660668969, 1.000
0, 1716, 41.8234378099, 339.0833638906, 1.000
0, 1717, 237.9035333395, 327.4492607713, 1.000
0, 1721, 442.9125193357, 311.5154089332, 1.000
0, 1726, 303.8859442472, 339.5446194410, 1.000
0, 1729, 342.2311592102, 202.2923963666, 1.000
0, 1731, 580.7343539000, 354.5737499595, 1.000
0, 1734, 35.1509535313, 133.0303471684, 1.000
0, 1743, 226.6857411861, 292.8400126696, 1.000
0, 1748, 130.7458278537, 47.6140108109, 1.000
0, 1757, 155.6579903960, 276.2946512103, 1.000
0, 1760, 165.9645922184, 400.0315112174, 1.000
0, 1761, 749.6369293928, 5.8287110329, 1.000
0, 1765, 236.3509706259, 391.0827059746, 1.000
0, 1766, 724.1406753063, 282.5935876966, 1.000
0, 1767, 521.5656172037, 26.7916926146, 1.000
0, 1769, 730.9423893690, 80.5703136921, 1.000
0, 1772, 682.0594558716, 227.4106646180, 1.000
0, 1776, 49.5364926457, 35.1589826345, 1.000
0, 1777, 63.9153746963, 336.6597036719, 1.000
0, 1779, 395.0280702114, 138.1905496120, 1.000
0, 1780, 140.0701930523, 377.5652179122, 1.000
0, 1784, 290.1248527765, 329.9897392988, 1.000
0, 1786, 618.4351500273, 195.3587069511, 1.000
0, 1790, 331.4253528118, 447.5075475872, 1.000
0, 1803, 239.7478785515, 157.4876103401, 1.000
0, 1808, 532.3949677944, 467.1510953307, 1.000
0, 1809, 744.4288487434, 116.2614663243, 1.000
0, 1811, 649.5800545216, 291.2604455948, 1.000
0, 1817, 315.9670485258, 279.0180297494, 1.000
0, 1818, 361.2854815722, 272.1274043918, 1.000
0, 1823, 604.3556478024, 111.6867470145, 1.000
0, 1825, 155.4094223976, 177.5378595591, 1.000
0, 1826, 349.3315761089, 190.7633394599, 1.000
0, 1830, 10.4538103938, 293.1387907267, 1.000
0, 1831, 182.0171805024, 33.8959457874, 1.000
0, 1836, 592.0396281481, 329.9543853998, 1.000
0, 1837, 389.0628143549, 440.0573903620, 1.000
0, 1838, 156.9885757565, 6.9698145390, 1.000
0, 1839, 378.6248389482, 59.2653019428, 1.000
0, 1841, 476.9527577162, 350.9682164192, 1.000
0, 1843, 290.8778908253, 360.4309883714, 1.000
0, 1844, 523.0167067051, 237.6734877825, 1.000
0, 1846, 176.2794683576, 47.6500416994, 1.000
0, 1848, 417.7682245970, 268.6260144114, 1.000
0, 1849, 502.7336483002, 419.3673860133, 1.000
0, 1851, 181.4621995091, 205.9877438545, 1.000
0, 1853, 321.9270389080, 471.0625905395, 1.000
0, 1857, 573.6521404982, 57.9816545248, 1.000
0, 1858, 77.4630640149, 463.8939669430, 1.000
0, 1866, 492.1812616587, 461.4156586230, 1.000
0, 1867, 736.4598542452, 366.6181087494, 1.000
0, 1876, 88.6720176935, 115.6420208812, 1.000
0, 1880, 412.3973655701, 54.5157688856, 1.000
0, 1882, 484.0358737707, 458.5479684770, 1.000
0, 1890, 385.3345576525, 296.4679996967, 1.000
0, 1897, 636.9523187876, 290.3197686076, 1.000
0, 1901, 185.8031693697, 135.7369890213, 1.000
0, 1903, 56.7802808881, 301.6296689510, 1.000
0, 1904, 623.2398201227, 186.2556045055, 1.000
0, 1910, 2.0630890131, 472.6447339356, 1.000
0, 1911, 209.0117629170, 468.8675459325, 1.000
0, 1913, 452.3765324354, 106.9468798637, 1.000
0, 1917, 40.0321234465, 93.6657363772, 1.000
0, 1918, 543.4434373379, 169.6988094449, 1.000
0, 1919, 720.9155722857, 183.3873502016, 1.000
0, 1923, 61.7519417405, 234.7042115927, 1.000
0, 1924, 538.0703216791, 151.1081873178, 1.000
0, 1928, 254.9941346645, 341.5532474518, 1.000
0, 1929, 393.2548841238, 158.6461275220, 1.000
0, 1941, 56.8001016378, 55.0105730295, 1.000
