Class; Value; Class start; Class end;
1;7455;0.000143185011;0.002544233737;
2;43720;0.002544233737;0.004945282462;
3;86204;0.004945282462;0.007346331188;
4;97265;0.007346331188;0.009747379914;
5;87194;0.009747379914;0.012148428640;
6;78810;0.012148428640;0.014549477366;
7;69736;0.014549477366;0.016950526092;
8;65492;0.016950526092;0.019351574818;
9;61900;0.019351574818;0.021752623544;
10;58273;0.021752623544;0.024153672270;
11;55307;0.024153672270;0.026554720996;
12;53448;0.026554720996;0.028955769722;
13;52574;0.028955769722;0.031356818448;
14;50970;0.031356818448;0.033757867174;
15;51379;0.033757867174;0.036158915900;
16;48384;0.036158915900;0.038559964626;
17;43843;0.038559964626;0.040961013352;
18;38961;0.040961013352;0.043362062078;
19;34241;0.043362062078;0.045763110804;
20;31538;0.045763110804;0.048164159530;
21;29443;0.048164159530;0.050565208256;
22;26737;0.050565208256;0.052966256982;
23;23690;0.052966256982;0.055367305708;
24;21635;0.055367305708;0.057768354434;
25;20250;0.057768354434;0.060169403160;
26;18495;0.060169403160;0.062570451886;
27;17538;0.062570451886;0.064971500612;
28;16071;0.064971500612;0.067372549338;
29;14870;0.067372549338;0.069773598064;
30;13462;0.069773598064;0.072174646790;
31;12935;0.072174646790;0.074575695516;
32;11901;0.074575695516;0.076976744242;
33;11335;0.076976744242;0.079377792968;
34;10506;0.079377792968;0.081778841694;
35;9707;0.081778841694;0.084179890420;
36;9760;0.084179890420;0.086580939146;
37;9490;0.086580939146;0.088981987871;
38;9404;0.088981987871;0.091383036597;
39;9061;0.091383036597;0.093784085323;
40;8986;0.093784085323;0.096185134049;
41;8875;0.096185134049;0.098586182775;
42;8275;0.098586182775;0.100987231501;
43;8144;0.100987231501;0.103388280227;
44;7681;0.103388280227;0.105789328953;
45;7099;0.105789328953;0.108190377679;
46;6711;0.108190377679;0.110591426405;
47;6428;0.110591426405;0.112992475131;
48;6395;0.112992475131;0.115393523857;
49;6093;0.115393523857;0.117794572583;
50;6674;0.117794572583;0.120195621309;
51;6846;0.120195621309;0.122596670035;
52;7885;0.122596670035;0.124997718761;
53;7382;0.124997718761;0.127398767487;
54;6206;0.127398767487;0.129799816213;
55;4645;0.129799816213;0.132200864939;
56;3739;0.132200864939;0.134601913665;
57;3057;0.134601913665;0.137002962391;
58;2793;0.137002962391;0.139404011117;
59;2565;0.139404011117;0.141805059843;
60;2417;0.141805059843;0.144206108569;
61;2248;0.144206108569;0.146607157295;
62;2155;0.146607157295;0.149008206021;
63;2003;0.149008206021;0.151409254747;
64;1977;0.151409254747;0.153810303473;
65;1851;0.153810303473;0.156211352199;
66;1924;0.156211352199;0.158612400925;
67;1714;0.158612400925;0.161013449651;
68;1683;0.161013449651;0.163414498377;
69;1583;0.163414498377;0.165815547103;
70;1508;0.165815547103;0.168216595829;
71;1502;0.168216595829;0.170617644555;
72;1486;0.170617644555;0.173018693280;
73;1438;0.173018693280;0.175419742006;
74;1273;0.175419742006;0.177820790732;
75;1312;0.177820790732;0.180221839458;
76;1181;0.180221839458;0.182622888184;
77;1186;0.182622888184;0.185023936910;
78;1169;0.185023936910;0.187424985636;
79;1086;0.187424985636;0.189826034362;
80;1073;0.189826034362;0.192227083088;
81;1087;0.192227083088;0.194628131814;
82;1123;0.194628131814;0.197029180540;
83;1061;0.197029180540;0.199430229266;
84;1079;0.199430229266;0.201831277992;
85;1111;0.201831277992;0.204232326718;
86;1034;0.204232326718;0.206633375444;
87;1187;0.206633375444;0.209034424170;
88;1107;0.209034424170;0.211435472896;
89;1150;0.211435472896;0.213836521622;
90;1151;0.213836521622;0.216237570348;
91;1103;0.216237570348;0.218638619074;
92;890;0.218638619074;0.221039667800;
93;732;0.221039667800;0.223440716526;
94;680;0.223440716526;0.225841765252;
95;698;0.225841765252;0.228242813978;
96;641;0.228242813978;0.230643862704;
97;634;0.230643862704;0.233044911430;
98;645;0.233044911430;0.235445960156;
99;564;0.235445960156;0.237847008882;
100;576;0.237847008882;0.240248057608;
101;528;0.240248057608;0.242649106334;
102;461;0.242649106334;0.245050155060;
103;436;0.245050155060;0.247451203786;
104;447;0.247451203786;0.249852252512;
105;410;0.249852252512;0.252253301238;
106;342;0.252253301238;0.254654349964;
107;357;0.254654349964;0.257055398689;
108;364;0.257055398689;0.259456447415;
109;296;0.259456447415;0.261857496141;
110;298;0.261857496141;0.264258544867;
111;275;0.264258544867;0.266659593593;
112;271;0.266659593593;0.269060642319;
113;251;0.269060642319;0.271461691045;
114;205;0.271461691045;0.273862739771;
115;219;0.273862739771;0.276263788497;
116;202;0.276263788497;0.278664837223;
117;160;0.278664837223;0.281065885949;
118;150;0.281065885949;0.283466934675;
119;186;0.283466934675;0.285867983401;
120;155;0.285867983401;0.288269032127;
121;133;0.288269032127;0.290670080853;
122;153;0.290670080853;0.293071129579;
123;132;0.293071129579;0.295472178305;
124;127;0.295472178305;0.297873227031;
125;102;0.297873227031;0.300274275757;
126;104;0.300274275757;0.302675324483;
127;134;0.302675324483;0.305076373209;
128;112;0.305076373209;0.307477421935;
129;102;0.307477421935;0.309878470661;
130;107;0.309878470661;0.312279519387;
131;117;0.312279519387;0.314680568113;
132;95;0.314680568113;0.317081616839;
133;127;0.317081616839;0.319482665565;
134;94;0.319482665565;0.321883714291;
135;91;0.321883714291;0.324284763017;
136;82;0.324284763017;0.326685811743;
137;87;0.326685811743;0.329086860469;
138;79;0.329086860469;0.331487909195;
139;69;0.331487909195;0.333888957921;
140;93;0.333888957921;0.336290006647;
141;65;0.336290006647;0.338691055373;
142;74;0.338691055373;0.341092104098;
143;68;0.341092104098;0.343493152824;
144;65;0.343493152824;0.345894201550;
145;62;0.345894201550;0.348295250276;
146;66;0.348295250276;0.350696299002;
147;57;0.350696299002;0.353097347728;
148;55;0.353097347728;0.355498396454;
149;60;0.355498396454;0.357899445180;
150;62;0.357899445180;0.360300493906;
151;57;0.360300493906;0.362701542632;
152;65;0.362701542632;0.365102591358;
153;50;0.365102591358;0.367503640084;
154;56;0.367503640084;0.369904688810;
155;62;0.369904688810;0.372305737536;
156;53;0.372305737536;0.374706786262;
157;58;0.374706786262;0.377107834988;
158;56;0.377107834988;0.379508883714;
159;56;0.379508883714;0.381909932440;
160;69;0.381909932440;0.384310981166;
161;49;0.384310981166;0.386712029892;
162;58;0.386712029892;0.389113078618;
163;65;0.389113078618;0.391514127344;
164;61;0.391514127344;0.393915176070;
165;65;0.393915176070;0.396316224796;
166;57;0.396316224796;0.398717273522;
167;49;0.398717273522;0.401118322248;
168;49;0.401118322248;0.403519370974;
169;50;0.403519370974;0.405920419700;
170;51;0.405920419700;0.408321468426;
171;41;0.408321468426;0.410722517152;
172;49;0.410722517152;0.413123565878;
173;59;0.413123565878;0.415524614604;
174;49;0.415524614604;0.417925663330;
175;36;0.417925663330;0.420326712056;
176;42;0.420326712056;0.422727760782;
177;44;0.422727760782;0.425128809507;
178;36;0.425128809507;0.427529858233;
179;51;0.427529858233;0.429930906959;
180;41;0.429930906959;0.432331955685;
181;36;0.432331955685;0.434733004411;
182;31;0.434733004411;0.437134053137;
183;36;0.437134053137;0.439535101863;
184;26;0.439535101863;0.441936150589;
185;34;0.441936150589;0.444337199315;
186;27;0.444337199315;0.446738248041;
187;35;0.446738248041;0.449139296767;
188;27;0.449139296767;0.451540345493;
189;21;0.451540345493;0.453941394219;
190;34;0.453941394219;0.456342442945;
191;31;0.456342442945;0.458743491671;
192;24;0.458743491671;0.461144540397;
193;26;0.461144540397;0.463545589123;
194;23;0.463545589123;0.465946637849;
195;20;0.465946637849;0.468347686575;
196;15;0.468347686575;0.470748735301;
197;17;0.470748735301;0.473149784027;
198;23;0.473149784027;0.475550832753;
199;14;0.475550832753;0.477951881479;
200;10;0.477951881479;0.480352930205;
201;19;0.480352930205;0.482753978931;
202;22;0.482753978931;0.485155027657;
203;13;0.485155027657;0.487556076383;
204;13;0.487556076383;0.489957125109;
205;13;0.489957125109;0.492358173835;
206;17;0.492358173835;0.494759222561;
207;12;0.494759222561;0.497160271287;
208;18;0.497160271287;0.499561320013;
209;14;0.499561320013;0.501962368739;
210;19;0.501962368739;0.504363417465;
211;8;0.504363417465;0.506764466191;
212;7;0.506764466191;0.509165514917;
213;14;0.509165514917;0.511566563642;
214;12;0.511566563642;0.513967612368;
215;8;0.513967612368;0.516368661094;
216;7;0.516368661094;0.518769709820;
217;20;0.518769709820;0.521170758546;
218;12;0.521170758546;0.523571807272;
219;9;0.523571807272;0.525972855998;
220;8;0.525972855998;0.528373904724;
221;12;0.528373904724;0.530774953450;
222;12;0.530774953450;0.533176002176;
223;10;0.533176002176;0.535577050902;
224;4;0.535577050902;0.537978099628;
225;6;0.537978099628;0.540379148354;
226;4;0.540379148354;0.542780197080;
227;8;0.542780197080;0.545181245806;
228;10;0.545181245806;0.547582294532;
229;12;0.547582294532;0.549983343258;
230;5;0.549983343258;0.552384391984;
231;6;0.552384391984;0.554785440710;
232;6;0.554785440710;0.557186489436;
233;4;0.557186489436;0.559587538162;
234;4;0.559587538162;0.561988586888;
235;4;0.561988586888;0.564389635614;
236;0;0.564389635614;0.566790684340;
237;5;0.566790684340;0.569191733066;
238;2;0.569191733066;0.571592781792;
239;0;0.571592781792;0.573993830518;
240;2;0.573993830518;0.576394879244;
241;2;0.576394879244;0.578795927970;
242;0;0.578795927970;0.581196976696;
243;3;0.581196976696;0.583598025422;
244;2;0.583598025422;0.585999074148;
245;1;0.585999074148;0.588400122874;
246;0;0.588400122874;0.590801171600;
247;1;0.590801171600;0.593202220326;
248;0;0.593202220326;0.595603269051;
249;0;0.595603269051;0.598004317777;
250;0;0.598004317777;0.600405366503;
251;0;0.600405366503;0.602806415229;
252;0;0.602806415229;0.605207463955;
253;0;0.605207463955;0.607608512681;
254;0;0.607608512681;0.610009561407;
255;0;0.610009561407;0.612410610133;
256;1;0.612410610133;0.614811658859;
